player_name,team_name,competition,season,position,goals,assists,played_matches,age,predicted_value_eur
Thiago,Brentford FC,PL,2025,,22,1,38,24.098562628336754,32686512.0
Edmond Tapsoba,Bayer 04 Leverkusen,BL1,2025,,5,3,29,26.494182067077343,32649624.0
Alejandro Grimaldo,Bayer 04 Leverkusen,BL1,2025,,8,8,30,29.864476386036962,32631692.0
Amine Gouiri,Olympique de Marseille,FL1,2025,,8,3,23,25.456536618754278,32344668.0
Jarrod Bowen,West Ham United FC,PL,2025,,9,11,38,29.582477754962355,32258412.0
Marc Guéhi,Manchester City FC,PL,2025,,3,2,35,25.05133470225873,32098592.0
Callum Hudson-Odoi,Nottingham Forest FC,PL,2025,,3,4,30,24.73100616016427,31936944.0
Hugo Ekitike,Liverpool FC,PL,2025,,11,4,29,23.11567419575633,31461664.0
Denzel Dumfries,FC Internazionale Milano,SA,2025,,3,1,22,29.286789869952088,31046232.0
Beto,Everton FC,PL,2025,,9,1,37,27.498973305954827,31035572.0
Ritsu Doan,Eintracht Frankfurt,BL1,2025,,5,4,32,27.12662559890486,30955820.0
Brian Brobbey,Sunderland AFC,PL,2025,,7,1,34,23.496235455167692,30828728.0
Alex Iwobi,Fulham FC,PL,2025,,4,3,29,29.245722108145106,30634008.0
Jamie Leweling,VfB Stuttgart,BL1,2025,,7,8,32,24.427104722792606,30530352.0
Harry Kane,FC Bayern München,BL1,2025,,36,4,32,32.01095140314853,30200748.0
Folarin Balogun,AS Monaco FC,FL1,2025,,13,3,31,24.079397672826833,29853680.0
Christopher Nkunku,AC Milan,SA,2025,,7,3,33,27.71252566735113,29670040.0
Thierno Barry,Everton FC,PL,2025,,8,1,38,25.5523613963039,29541576.0
Gianluca Scamacca,Atalanta BC,SA,2025,,10,1,31,26.581793292265573,29538024.0
Noah Okafor,Leeds United FC,PL,2025,,8,1,29,25.188227241615333,29488096.0
Benjamin Šeško,Manchester United FC,PL,2025,,11,1,32,22.171115674195757,29152664.0
Mikel Oyarzabal,Real Sociedad de Fútbol,PD,2025,,15,4,35,28.279260780287473,29025720.0
Jørgen Strand Larsen,Crystal Palace FC,PL,2025,,4,1,36,25.4839151266256,28967592.0
Lucas Paquetá,West Ham United FC,PL,2025,,4,1,18,27.928815879534564,28939152.0
Wilson Isidor,Sunderland AFC,PL,2025,,6,0,36,24.928131416837783,28827812.0
Enzo Le Fée,Sunderland AFC,PL,2025,,5,6,36,25.492128678986994,28517460.0
Deniz Undav,VfB Stuttgart,BL1,2025,,19,6,29,29.034907597535934,28460240.0
Antonio Nusa,RB Leipzig,BL1,2025,,4,3,31,20.290212183436,27976232.0
Endrick,Olympique Lyonnais,FL1,2025,,5,7,16,19.030800821355236,27895188.0
Nico Paz,Como 1907,SA,2025,,12,6,36,20.895277207392198,27542236.0
Charles De Ketelaere,Atalanta BC,SA,2025,,3,5,31,24.39425051334702,27258352.0
Crysencio Summerville,West Ham United FC,PL,2025,,5,2,31,23.753593429158112,27194012.0
Jonathan Burkardt,Eintracht Frankfurt,BL1,2025,,13,1,22,25.05681040383299,26940268.0
Alberto Moleiro,Villarreal CF,PD,2025,,10,5,37,21.83709787816564,26857052.0
Cucho Hernández,Real Betis Balompié,PD,2025,,11,3,32,26.28336755646817,26567256.0
