snapshot_date,player_name,team_name,competition,position,age,predicted_value_eur,form_multiplier,contract_modifier,form_score,goals_recent,assists_recent,matches_played_recent,dynamic_value_eur,value_delta_pct
2026-09-12,Georges Mikautadze,Olympique Lyonnais,FL1,,23.750855578370977,29855672.0,0.95,1.0,0.3333,1,1,4,28362888.0,-5.0
2026-09-12,Donyell Malen,Borussia Dortmund,BL1,,25.533196440793976,29590636.0,1.03,0.95,0.6,5,0,3,28954437.0,-2.2
2026-09-12,Moise Kean,ACF Fiorentina,SA,,24.424366872005475,29580592.0,1.0,1.0,0.0,0,0,0,29580592.0,0.0
2026-09-12,Emile Smith Rowe,Fulham FC,PL,,24.01095140314853,29504240.0,1.0,1.0,0.0,0,0,0,29504240.0,0.0
2026-09-12,Takefusa Kubo,Real Sociedad de Fútbol,PD,,23.159479808350444,29213060.0,1.0,1.0,0.0,0,0,0,29213060.0,0.0
2026-09-12,Theo Hernández,AC Milan,SA,,26.819986310746064,28687504.0,1.0,0.95,0.0,0,0,0,27253129.0,-5.0
2026-09-12,Maghnes Akliouche,AS Monaco FC,FL1,,22.431211498973305,28385536.0,1.0,1.0,0.0,0,0,0,28385536.0,0.0
2026-09-12,Éderson,Atalanta BC,SA,,25.07049965776865,28100196.0,0.91,0.95,0.2,1,0,3,24292619.0,-13.6
2026-09-12,Rodrigo Muniz,Fulham FC,PL,,23.24435318275154,27995820.0,1.0,1.0,0.0,0,0,0,27995820.0,0.0
2026-09-12,Patrick Dorgu,US Lecce,SA,,19.76454483230664,27979220.0,1.0,1.0,0.0,0,0,0,27979220.0,0.0
2026-09-12,Eljif Elmas,Torino FC,SA,,24.854209445585216,27458576.0,1.0,1.0,0.0,0,0,0,27458576.0,0.0
2026-09-12,Artem Dovbyk,AS Roma,SA,,27.1129363449692,27206360.0,0.91,0.95,0.2,1,0,3,23519898.0,-13.6
2026-09-12,Sebastian Nanasi,RC Strasbourg Alsace,FL1,,22.21218343600274,26354072.0,1.0,1.0,0.0,0,0,0,26354072.0,0.0
2026-09-12,Martinelli,Arsenal FC,PL,,23.1211498973306,26219604.0,1.0,1.0,0.0,0,0,0,26219604.0,0.0
2026-09-12,Pape Gueye,Villarreal CF,PD,,25.51950718685832,26013328.0,0.91,0.95,0.2,1,0,4,22488522.0,-13.6
2026-09-12,Ansgar Knauff,Eintracht Frankfurt,BL1,,22.55715263518138,25940640.0,1.0,1.0,0.0,0,0,0,25940640.0,0.0
2026-09-12,Daniel Muñoz,Crystal Palace FC,PL,,28.18343600273785,25928128.0,1.0,0.95,0.0,0,0,0,24631722.0,-5.0
2026-09-12,Tiago Tomás,VfL Wolfsburg,BL1,,22.127310061601644,25512616.0,1.0,1.0,0.0,0,0,0,25512616.0,0.0
2026-09-12,Denis Zakaria,AS Monaco FC,FL1,,27.696098562628336,24592168.0,1.0,0.95,0.0,0,0,0,23362560.0,-5.0
2026-09-12,Diego López,Valencia CF,PD,,22.220396988364133,24471076.0,1.0,1.0,0.0,0,0,0,24471076.0,0.0
2026-09-12,Ludovic Blas,Stade Rennais FC 1901,FL1,,26.584531143052704,24424584.0,1.0,0.95,0.0,0,0,0,23203355.0,-5.0
2026-09-12,Hugo Larsson,Eintracht Frankfurt,BL1,,20.095824777549623,24140444.0,1.0,1.0,0.0,0,0,0,24140444.0,0.0
2026-09-12,Koni De Winter,Genoa CFC,SA,,22.138261464750173,24138880.0,1.0,1.0,0.0,0,0,0,24138880.0,0.0
2026-09-12,Hakan Çalhanoğlu,FC Internazionale Milano,SA,,30.47775496235456,24000188.0,0.97,0.82,0.4,2,0,3,19089750.0,-20.5
2026-09-12,Neil El Aynaoui,Racing Club de Lens,FL1,,23.082819986310746,23823184.0,1.0,1.0,0.0,0,0,0,23823184.0,0.0
2026-09-12,Jack Hinshelwood,Brighton & Hove Albion FC,PL,,19.307323750855577,23749956.0,0.91,1.0,0.2,2,0,1,21612460.0,-9.0
2026-09-12,Giovani Lo Celso,Real Betis Balompié,PD,,28.31211498973306,23648344.0,1.0,0.95,0.0,0,0,0,22465927.0,-5.0
2026-09-12,Enzo Millot,VfB Stuttgart,BL1,,22.04243668720055,23333768.0,1.0,1.0,0.0,0,0,0,23333768.0,0.0
2026-09-12,Riccardo Orsolini,Bologna FC 1909,SA,,27.51813826146475,22819688.0,1.0,0.95,0.0,0,0,0,21678704.0,-5.0
2026-09-12,Breel Embolo,AS Monaco FC,FL1,,27.460643394934976,22466888.0,1.0,0.95,0.0,0,0,0,21343544.0,-5.0
